Path,Name,"Default Culture","fr"
Lumafly/Resources,Array_Sep,", ",", "
Lumafly/Resources,AvailableMods,"Available Mods","Mods disponibles"
Lumafly/Resources,AvailablePacks,"Available Packs:","Modpack disponibles :"
Lumafly/Resources,Cancel,"Cancel","Annuler"
Lumafly/Resources,Confirm,"Confirm","Valider"
Lumafly/Resources,DisableMod,"DisableMod","Désactiver le mod"
Lumafly/Resources,EditDetails,"Edit Details","Modifier les infos"
Lumafly/Resources,EditMods,"Edit Mods","Modifier le mod"
Lumafly/Resources,EditPack,"Edit Pack","Modifier le modpack"
Lumafly/Resources,EnableMod,"Enable Mod","Activer le mod"
Lumafly/Resources,EnterSharingCode,"Enter Sharing Code:","Saisir le code de partage"
Lumafly/Resources,FixedVersion_Tooltip,"Don't use latest modlinks version. Instead use current version","Veuillez utiliser la version courante de modlinks plutôt que la dernière"
Lumafly/Resources,LoadPackAdditive,"Load without replacing","Charger sans remplacer"
Lumafly/Resources,LoadPackAdditive_Explanation,"Load this pack without replacing mods in current mods folder","Charger ce modpack sans remplacer les mods du dossier des mods"
Lumafly/Resources,ModlinksVersion_Tooltip,"Use latest modlinks version","Utilisez la dernière version de modlinks"
Lumafly/Resources,ModLinks_Tags_Boss,"Boss","Boss"
Lumafly/Resources,ModLinks_Tags_Expansion,"Expansion","Expansion"
Lumafly/Resources,ModLinks_Tags_Gameplay,"Gameplay","Gameplay"
Lumafly/Resources,PackDescription,"Pack Description","Description du modpack"
Lumafly/Resources,PackDetails,"Pack Details","Infos du modpack"
Lumafly/Resources,PackDetails_Explanation,"Edit the details of your pack here.","Modifiez les infos du modpack."
Lumafly/Resources,PackName,"Pack Name","Nom du modpack"
Lumafly/Resources,PackUpdatePrompt,"Some mods in the pack are outdated, do you want to update them?","Des mods du modpack ne sont plus à jour, voulez-vous les mettre à jour ?"
Lumafly/Resources,RevertToPreviousMods,"Revert to previous mods","Revenir aux mods précédents"
Lumafly/Resources,SelectedMods,"Selected Mods","Mods sélectionnés"
Lumafly/Resources,UseFixedVersion,"Use Fixed Version","Utiliser la version fixe"
Lumafly/Resources,UseModlinksVersion,"Use Modlinks Version","Utiliser la version de modlinks"
Lumafly/Resources,XAML_CacheDownloads_Explanation,"(Uses extra {0} of storage)","(Utilisation supplémentaire du stockage de {0})"
Lumafly/Resources,XAML_CreateNewPack,"Create new pack","Créer un modpack"
Lumafly/Resources,XAML_DeletePack,"Delete pack","Supprimer le modpack"
Lumafly/Resources,XAML_Description,"Description:","Description :"
Lumafly/Resources,XAML_EditPack,"Edit pack","Modifer le modpack"
Lumafly/Resources,XAML_FilterMods,"Filter Mods:  ","Filtres :  "
Lumafly/Resources,XAML_GenerateSharingCode,"Generate a 8 digit sharing code. This can be given to someone else and they can use this pack","Générer un code de partage de 8 caractères. Ce code permet à quiconque d'utiliser ce modpack."
Lumafly/Resources,XAML_ImportPack,"Import pack","Importer un modpack"
Lumafly/Resources,XAML_Info,"Info","Info"
Lumafly/Resources,XAML_InfoHeader,"Lumafly","Lumafly"
Lumafly/Resources,XAML_InfoLinkDiscord,"Discord\n","Discord\n"
Lumafly/Resources,XAML_InfoLinkGithub,"Github\n","Github\n"
Lumafly/Resources,XAML_InfoLinkHKMM,"HK Mod\nManager","HK Mod\nManager"
Lumafly/Resources,XAML_InfoLinkReadme,"Readme\n","Readme\n"
Lumafly/Resources,XAML_LoadPack,"Load Pack","Charger le modpack"
Lumafly/Resources,XAML_Low_Storage_Mode,"Low Storage Mode","Mode de stockage faible"
Lumafly/Resources,XAML_Mods,"Mods","Mods"
Lumafly/Resources,XAML_ModsInPack,"Mods In Pack:","Mods du modpack :"
Lumafly/Resources,XAML_Off,"Off","Off"
Lumafly/Resources,XAML_Ok,"Ok","Ok"
Lumafly/Resources,XAML_On,"On","On"
Lumafly/Resources,XAML_Packs,"Packs","Modpacks"
Lumafly/Resources,XAML_SearchAuthor,"Search Author","Chercher un auteur"
Lumafly/Resources,XAML_Search_Integrations,"Search by Integrations","Chercher par intégrations"
Lumafly/Resources,XAML_SharePack,"Share this pack","Partager ce modpack"
Lumafly/Resources,XAML_SharePackManually,"Share this pack as a zip file. You will need to send this zip file yourself.","Partager ce modpack manuellement. Vous devrez partager le fichier zip vous-même."
Lumafly/Resources,XAML_SharingCode,"Sharing Code:","Code de partage"
Lumafly/Resources,XAML_Toggle_All,"Toggle All","Tout activer"
Lumafly/Resources,XAML_Toggle_All_Tooltip,"Disable all mods if any are enabled, Enable all mods if all are disabled","Désactive tous les mods actifs, ou active tous les mods si aucun n'est actif."
